nohup: 忽略输入
<class 'float'>
loss_dis_adv 2.5549994
[#001580|200000]  4.33s
loss_gen_adv 23.01083
loss_gen_sty 2.1703985
loss_gen_rec 5.9072046
loss_dis_adv 0.105547026
[#001590|200000]  4.12s
loss_gen_adv 18.360538
loss_gen_sty 1.7090082
loss_gen_rec 1.8061185
loss_dis_adv 2.5718215
[#001600|200000]  4.07s
loss_gen_adv 91.64795
loss_gen_sty 4.6849227
loss_gen_rec 1.5371675
loss_dis_adv 9.413982
[#001610|200000]  4.05s
loss_gen_adv 19.657291
loss_gen_sty 2.5783157
loss_gen_rec 1.1664457
loss_dis_adv 9.198222
[#001620|200000]  4.06s
loss_gen_adv 15.9805155
loss_gen_sty 2.5048213
loss_gen_rec 1.144337
loss_dis_adv 0.91349614
[#001630|200000]  4.05s
loss_gen_adv 15.620897
loss_gen_sty 2.5270066
loss_gen_rec 1.6165638
loss_dis_adv 1.2311938
[#001640|200000]  4.06s
loss_gen_adv 23.740387
loss_gen_sty 1.7820663
loss_gen_rec 1.1868339
loss_dis_adv 0.6510389
[#001650|200000]  4.05s
loss_gen_adv 14.478109
loss_gen_sty 1.6990318
loss_gen_rec 1.1786755
loss_dis_adv 4.4635987
[#001660|200000]  4.07s
loss_gen_adv 16.306732
loss_gen_sty 2.1779943
loss_gen_rec 2.5302727
loss_dis_adv 0.6156138
[#001670|200000]  4.36s
loss_gen_adv -0.027484894
loss_gen_sty 3.8229246
loss_gen_rec 1.528917
loss_dis_adv 28.591742
[#001680|200000]  4.39s
loss_gen_adv 56.418346
loss_gen_sty 2.3287916
loss_gen_rec 1.3643817
loss_dis_adv 0.3513709
[#001690|200000]  4.35s
loss_gen_adv 40.012733
loss_gen_sty 2.9894204
loss_gen_rec 1.3275173
loss_dis_adv 1.2718798
[#001700|200000]  4.33s
loss_gen_adv 12.221594
loss_gen_sty 2.7431073
loss_gen_rec 2.7106547
loss_dis_adv 1.3712523
[#001710|200000]  4.35s
loss_gen_adv 39.789627
loss_gen_sty 2.7440405
loss_gen_rec 1.7553093
loss_dis_adv 4.445756
[#001720|200000]  4.38s
loss_gen_adv 22.146433
loss_gen_sty 3.6851149
loss_gen_rec 1.5928942
loss_dis_adv 1.6807401
[#001730|200000]  4.31s
loss_gen_adv 14.326229
loss_gen_sty 2.0756016
loss_gen_rec 1.2844713
loss_dis_adv 5.1568904
[#001740|200000]  4.37s
loss_gen_adv 26.769268
loss_gen_sty 2.2274818
loss_gen_rec 2.3581934
loss_dis_adv 0.20536318
[#001750|200000]  4.30s
loss_gen_adv 12.474295
loss_gen_sty 2.637662
loss_gen_rec 1.3414204
loss_dis_adv 2.9750733
[#001760|200000]  4.28s
loss_gen_adv 19.04043
loss_gen_sty 2.1804605
loss_gen_rec 1.6269007
loss_dis_adv 3.3734179
[#001770|200000]  4.05s
loss_gen_adv 11.001141
loss_gen_sty 5.37309
loss_gen_rec 2.564847
loss_dis_adv 4.807686
[#001780|200000]  4.06s
loss_gen_adv 17.567064
loss_gen_sty 2.513693
loss_gen_rec 1.5179182
loss_dis_adv 4.8021054
[#001790|200000]  4.05s
loss_gen_adv 47.84102
loss_gen_sty 7.088279
loss_gen_rec 1.0471147
loss_dis_adv 7.5212016
[#001800|200000]  4.06s
loss_gen_adv 32.506584
loss_gen_sty 2.0957203
loss_gen_rec 1.0067211
loss_dis_adv 2.984014
[#001810|200000]  4.05s
loss_gen_adv 29.011843
loss_gen_sty 1.8778394
loss_gen_rec 1.459097
loss_dis_adv 4.249232
[#001820|200000]  4.06s
loss_gen_adv 17.503014
loss_gen_sty 1.7630633
loss_gen_rec 1.2872547
loss_dis_adv 0.7031081
[#001830|200000]  4.05s
loss_gen_adv 29.123768
loss_gen_sty 3.2158682
loss_gen_rec 2.0985856
loss_dis_adv 1.1543524
[#001840|200000]  4.21s
loss_gen_adv 29.576649
loss_gen_sty 3.4144444
loss_gen_rec 1.2590767
loss_dis_adv 1.8907638
[#001850|200000]  4.37s
loss_gen_adv 21.291487
loss_gen_sty 2.5574875
loss_gen_rec 1.6713415
loss_dis_adv 2.0949864
[#001860|200000]  4.30s
loss_gen_adv 32.171257
loss_gen_sty 2.3542848
loss_gen_rec 1.8706334
loss_dis_adv 0.90206134
[#001870|200000]  4.40s
loss_gen_adv 24.753145
loss_gen_sty 3.9311457
loss_gen_rec 1.0887489
loss_dis_adv 3.6491685
[#001880|200000]  4.32s
loss_gen_adv 18.54696
loss_gen_sty 4.311452
loss_gen_rec 1.4741223
loss_dis_adv 7.2482758
[#001890|200000]  4.35s
loss_gen_adv 31.175346
loss_gen_sty 2.6853447
loss_gen_rec 2.0284739
loss_dis_adv 0.53659177
[#001900|200000]  4.36s
loss_gen_adv -6.469278
loss_gen_sty 4.9713383
loss_gen_rec 1.1889615
loss_dis_adv 17.928356
[#001910|200000]  4.33s
loss_gen_adv 27.448502
loss_gen_sty 2.3082078
loss_gen_rec 1.1770062
loss_dis_adv 0.3463858
[#001920|200000]  4.37s
loss_gen_adv 37.83802
loss_gen_sty 3.588958
loss_gen_rec 1.1727161
